domain,chord_IP,chord_time,reg_IP,reg_time,eq,code,url
sintef.no,217.114.94.2,3323,217.114.94.2,217.369641,1,200,https://sintef.no
imaging.nikon.com,58.138.171.28,2739,58.138.171.28,509.088959,1,200,https://imaging.nikon.com
raicestexas.org,198.185.159.144,2694,198.185.159.144,135.947876,1,200,https://raicestexas.org
panelpicker.sxsw.com,18.233.116.205,2705,52.203.224.34,103.710353,0,200,https://panelpicker.sxsw.com
newinchess.com,49.12.165.174,2752,49.12.165.174,232.115437,1,200,https://newinchess.com
westerntelegraph.co.uk,93.174.10.103,3992,93.174.10.103,42.3436,1,200,https://westerntelegraph.co.uk
commerce.net,146.148.110.244,4013,146.148.110.244,355.577737,1,403,https://commerce.net
11560730.fls.doubleclick.net,142.250.185.230,1225,142.250.70.38,66.320099,0,404,https://11560730.fls.doubleclick.net
nepis.epa.gov,134.67.99.178,3303,134.67.99.178,203.351379,1,200,https://nepis.epa.gov
piriform.com,151.101.192.64,2483,151.101.0.64,3.593253,0,421,https://piriform.com
history.co.uk,151.101.130.216_151.101.66.216_151.101.2.216_,1087,151.101.2.216,24.498496,1,200,https://history.co.uk
gemalto.com,13.37.9.116,1076,13.37.9.116,127.187973,1,200,https://gemalto.com
science.apa.at,194.232.43.121,1087,194.232.43.121,299.746306,1,200,https://science.apa.at
reference.bahai.org,108.158.46.18,3990,108.158.46.18,66.265864,1,200,https://reference.bahai.org
welldoc.com,141.193.213.10,2700,141.193.213.10,100.140843,1,403,https://welldoc.com
manifesta10.org,134.209.93.128,1474,134.209.93.128,396.993649,1,200,http://manifesta10.org
gympass.com,108.139.182.58,3407,18.172.78.24,62.435127,0,200,https://gympass.com
garyjones.io,35.214.103.112,1085,35.214.103.112,178.858967,1,200,https://garyjones.io
cmich.edu,20.40.202.0,3316,20.40.202.0,362.377846,1,403,https://cmich.edu
fitsugar.com,35.168.234.93_18.206.3.190_,2690,54.164.232.202,119.900625,0,200,https://fitsugar.com
adways.com,213.186.33.5,1207,213.186.33.5,178.707318,1,200,http://adways.com
nasonline.org,216.235.194.195,3413,216.235.194.195,396.372236,1,200,https://nasonline.org
helicontech.com,104.21.87.88_172.67.169.46_,1100,172.67.169.46,64.886597,1,200,https://helicontech.com
parkwhiz.com,52.14.114.39,1183,52.14.114.39,7.317119,1,200,https://parkwhiz.com
ff2media.com,35.208.129.246,1176,35.208.129.246,351.974625,1,200,https://ff2media.com
montclair.edu,130.68.5.22,6021,130.68.5.22,312.761798,1,200,https://montclair.edu
palwatch.org,188.114.96.3,1203,172.67.184.115,58.369291,0,200,https://palwatch.org
trekbikes.com,52.167.31.57,1213,52.167.31.57,97.953301,1,403,https://trekbikes.com
nobroker.in,34.98.82.31,1085,34.98.82.31,2.272942,1,200,https://nobroker.in
hyperreal.org,209.237.226.92,3947,209.237.226.92,347.083454,1,200,https://hyperreal.org
ucr.edu,169.235.128.50,1091,169.235.128.50,152.712661,1,200,https://ucr.edu
siepr.stanford.edu,2.16.164.107_2.16.238.26_184.25.50.49_,1222,23.54.81.162,242.629636,0,200,https://siepr.stanford.edu
sallybeauty.com,104.18.125.228_104.18.124.228_,1086,104.18.124.228,8.038483,1,200,https://sallybeauty.com
relx.com,207.24.42.50,3982,207.24.42.50,156.666775,1,403,http://relx.com
coloradopolitics.com,188.114.96.0_188.114.96.3_188.114.97.3_,1091,104.21.82.194,132.573534,0,200,https://coloradopolitics.com
boatus.com,45.60.45.141,1087,45.60.45.141,283.158878,1,200,https://boatus.com
allstarpics.net,174.34.56.78,1074,174.34.56.78,218.748532,1,200,https://allstarpics.net
camgirlscammodels.blogspot.com,142.250.186.65,1087,216.58.203.1,65.954254,0,404,https://camgirlscammodels.blogspot.com
8254309.fls.doubleclick.net,142.250.76.134,2244,142.250.70.38,62.975563,0,404,https://8254309.fls.doubleclick.net
utswmed.org,40.122.75.249,1210,40.122.75.249,647.617336,1,200,https://utswmed.org
visitphoenix.com,34.74.254.27,1169,34.74.254.27,60.631591,1,200,https://visitphoenix.com
une.edu.au,43.245.43.58,3975,43.245.43.58,168.95208,1,200,https://une.edu.au
redhotchilipeppers.com,18.192.231.252_52.58.254.253_,1202,18.139.194.139,158.536444,0,200,https://redhotchilipeppers.com
laze.net,172.67.129.31,4003,172.67.129.31,127.274163,1,200,https://laze.net
8522958.fls.doubleclick.net,172.217.18.6_216.58.206.38_,1092,142.250.70.38,59.630077,0,404,https://8522958.fls.doubleclick.net
virtualglobetrotting.com,64.34.182.211,3355,64.34.182.211,6.039576,1,200,https://virtualglobetrotting.com
