,scenario,chord_avg,normal_avg
0,load_3_servers,988.295,161.444657055
1,secondtime_3_servers,935.18,117.621889145
2,load_2_servers,794.395,95.85097913999998
3,secondTime_2_server,794.11,13.9885895
4,load_5_servers,1530.6633165829146,160.86605185929648
5,secondTime_5_servers,1499.24,115.535935895
6,load_4_servers,1124.115,168.66328309
7,16Servers,1849.0230923694776,205.55527378012047
8,11,74.0,0.0
9,1,74.0,0.0
10,del,74.0,0.0
