facebook.com,157.240.13.35,0,/127.0.0.1,349200
eforms.com,null,472,/127.0.0.1,472763200
beta.character.ai,104.18.223.226_104.18.222.226_,0,/127.0.0.1,153000
ip-watch.org,null,436,/127.0.0.1,436736700
paulickreport.com,151.101.2.98_151.101.130.98_,0,/127.0.0.1,148200
teachinginhighered.com,141.193.213.11_141.193.213.10_,0,/127.0.0.1,159100
nilsfrahm.com,172.67.165.154_104.21.15.250_,0,/127.0.0.1,112800
vectorstock.com,99.86.47.23_99.86.47.59_99.86.47.58_99.86.47.57_,0,/127.0.0.1,87300
simpleicons.org,185.199.108.153_185.199.109.153_185.199.110.153_,0,/127.0.0.1,243300
healthyamericans.org,172.67.219.87_104.21.51.25_,0,/127.0.0.1,149100
thv11.com,54.68.182.72_34.213.106.51_,0,/127.0.0.1,116500
justluxe.com,null,443,/127.0.0.1,443704500
mhlnews.com,89.106.200.1,0,/127.0.0.1,104200
xoomer.alice.it,213.209.30.138,0,/127.0.0.1,90400
urukia.com,null,291,/127.0.0.1,291947700
opendata.go.ke,169.239.252.108,0,/127.0.0.1,95400
statistik.d-u-v.org,45.153.58.2,0,/127.0.0.1,98600
icomos.org,37.59.136.183,0,/127.0.0.1,104800
plantsoftheworldonline.org,213.48.60.82,0,/127.0.0.1,86000
kaskus.co.id,103.6.117.2_103.6.117.3_,0,/127.0.0.1,78800
projects.csail.mit.edu,128.30.2.143,0,/127.0.0.1,78100
waverlyfilms.com,143.95.40.169,0,/127.0.0.1,90400
scp-wiki.net,162.255.119.159,0,/127.0.0.1,81400
orangebowl.org,192.124.249.117,0,/127.0.0.1,78300
idexx.com,72.55.246.191,0,/127.0.0.1,105100
solutionsinfini.com,108.158.245.49_18.66.63.8_,0,/127.0.0.1,87800
lr21.com.uy,46.105.165.183,0,/127.0.0.1,108300
slotmitosbet27.weebly.com,199.34.228.54_199.34.228.53_,0,/127.0.0.1,80000
solaresearch.org,209.217.212.158,0,/127.0.0.1,487800
japaneseapp.com,108.158.245.47_108.158.245.49_18.164.202.37_18.164.202.34_108.158.245.53_,0,/127.0.0.1,100500
knewton.com,34.213.106.51_54.68.182.72_,0,/127.0.0.1,83400
wakingbraincells.com,null,428,/127.0.0.1,428609900
urlesque.com,54.161.105.65_74.6.136.150_,0,/127.0.0.1,136400
snobette.com,null,446,/127.0.0.1,446088100

